Gender,Course,Study Year,CGPA,Study Days per Week,Study Hours per Day,Study Hours Before Exam,Study Method,Study Schedule,Follow Schedule Frequency,Procrastination Level,Deadline Management,Social Media During Study,Part-Time Job,Work Hours per Week,Study Place,Family Support,Sleep Hours,Stress Level (Beginning of Semester),Stress Level (End of Semester)
Female,Bachelor of Digital Media Production ,1,2.5,4,3.5,5.5,Watching recorded lectures/videos,Yes,Sometimes,3,Average,Sometimes,Yes,15.5,"Library, Room",Neutral,4.5,2,3
Female,Bachelor of Accounting,1,3.5,3,3.5,1.5,Doing practice questions,Yes,Always,3,Average,Sometimes,No,0.0,"Library, Room, Campus Study Area",Very Supportive,4.5,2,5
Female,Bachelor of Digital Media Production ,1,3.5,4,0.5,7.0,Summarizing/making notes,No,,4,Average,Sometimes,No,0.0,Room,Very Supportive,6.5,5,5
Female,Bachelor of Islamic Finance,1,3.5,6,3.5,7.0,Doing practice questions,No,,4,Average,Always,No,0.0,Room,Neutral,4.5,2,4
Female,Diploma in Halal Industry,1,3.5,5,3.5,3.5,Reading lecture notes,No,,3,Good,Sometimes,No,0.0,"Library, Room",Neutral,8.5,2,5
Female,Diploma in English Communication,2,3.5,4,5.5,3.5,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,0.0,"Library, Room, Cafe",Neutral,3.0,3,4
Female,Diploma in Islamic Finance,2,3.5,3,1.5,5.5,Summarizing/making notes,No,,3,Average,Always,No,0.0,Room,Neutral,6.5,3,3
Female,Diploma in Islamic Finance,1,3.5,5,5.5,7.0,Doing practice questions,Yes,Always,2,Good,Always,Yes,2.5,Room,Neutral,4.5,5,2
Female,Diploma in Islamic Finance,2,3.5,2,3.5,5.5,Doing practice questions,No,,3,Good,Never,No,0.0,Room,Very Supportive,6.5,2,5
Female,Diploma in Islamic Finance,1,3.5,2,1.5,5.5,Summarizing/making notes,No,,4,Average,Always,No,0.0,"Library, Room",Neutral,3.0,4,5
Female,Bachelor of Physiotherapy,2,3.5,5,3.5,7.0,Doing practice questions,No,,4,Average,Always,No,0.0,Room,Very Supportive,4.5,2,5
Female,Bachelor of Digital Media Production,1,2.5,5,3.5,5.5,all of the above,No,,4,Average,Always,No,0.0,"Room, Campus Study Area",Neutral,6.5,2,4
Female,Bachelor of Accounting,2,3.5,7,3.5,7.0,Doing practice questions,Yes,Sometimes,3,Good,Sometimes,No,0.0,Room,Very Supportive,6.5,2,5
