Timestamp,Gender,Course, Study Year,CGPA  , Study Days per Week, Study Hours per Day, Study Hours Before Exam, Study Method, Study Schedule, Follow Schedule Frequency, Procrastination Level, Deadline Management, Social Media During Study, Part-Time Job, Work Hours per Week, Study Place, Family Support, Sleep Hours, Stress Level (Beginning of Semester), Stress Level (End of Semester)
3/26/2026 22:23:48,Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),Year 2,3.00 – 3.99,7,5 – 6 hours,More than 6 hours,Watching recorded lectures/videos,No,,3,Average,Always,No,,"Library, Campus Study Area",Very Supportive,4 – 5 hours,4,4
3/26/2026 22:31:01,Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),Year 2,3.00 – 3.99,7,5 – 6 hours,5 – 6 hours,Reading lecture notes,No,,3,Average,Sometimes,No,,Room,Very Supportive,4 – 5 hours,4,5
3/26/2026 22:48:25,Female,Bachelor of Accounting ,Year 3,3.00 – 3.99,3,5 – 6 hours,More than 6 hours,Doing practice questions,No,,4,Good,Always,No,,Room,Very Supportive,8 – 9 hours,2,5
3/26/2026 23:37:40,Female,Bachelor of Investment Management,Year 2,3.00 – 3.99,6,1 – 2 hours,5 – 6 hours,Summarizing/making notes,Yes,Sometimes,2,Good,Sometimes,No,,"Room, Campus Study Area",Very Supportive,4 – 5 hours,1,5
3/26/2026 23:50:25,Female,Bachelor of Business,Year 2,3.00 – 3.99,2,1 – 2 hours,More than 6 hours,Summarizing/making notes,No,,4,Average,Always,No,,Room,Very Supportive,4 – 5 hours,2,3
3/27/2026 0:46:24,Female,Bachelor of Accounting,Year 1,3.00 – 3.99,5,3 – 4 hours,3 – 4 hours,Summarizing/making notes,No,,3,Poor,Always,No,,Room,Neutral,4 – 5 hours,2,4
3/27/2026 1:01:06,Female,Bachelor of Science in Chemistry ,Year 2,3.00 – 3.99,5,1 – 2 hours,More than 6 hours,Summarizing/making notes,No,,3,Average,Always,No,,Room,Very Supportive,8 – 9 hours,1,4
3/27/2026 5:25:52,Female,Bachelor of Arabic,Year 2,3.00 – 3.99,5,1 – 2 hours,3 – 4 hours,Reading lecture notes,Yes,Sometimes,3,Average,Always,No,,Room,Very Supportive,6 – 7 hours,4,4
3/27/2026 7:08:20,Female,Bachelor of Teaching English as a Second Language (TESL),Year 2,3.00 – 3.99,3,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,3,Good,Sometimes,No,,At my house,Very Supportive,4 – 5 hours,2,4
3/27/2026 10:48:20,Male,Bachelor of Computer Science,Year 2,2.00 – 2.99,5,3 – 4 hours,5 – 6 hours,Summarizing/making notes,Yes,Always,2,Average,Sometimes,No,,"Library, Room",Very Not Supportive,Less than 4 hours,1,5
3/27/2026 10:53:37,Male,Bachelor of Mass Communication ,Year 1,4,3,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,4,Good,Sometimes,No,,"Library, Room",Very Supportive,6 – 7 hours,3,2
3/27/2026 11:32:08,Male,Bachelor of Software Engineering ,Year 2,3.00 – 3.99,5,5 – 6 hours,5 – 6 hours,Reading lecture notes,No,,4,Average,Always,No,,Room,Neutral,6 – 7 hours,4,5
3/27/2026 12:11:39,Female,Bachelor of Civil Engineering,Year 2,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Doing practice questions,No,,4,Average,Sometimes,No,,Campus Study Area,Very Supportive,6 – 7 hours,3,5
3/27/2026 12:12:02,Female,Bachelor of Mechanical Engineering ,Year 2,3.00 – 3.99,2,3 – 4 hours,1 – 2 hours,Doing practice questions,No,,3,Average,Never,No,,Room,Neutral,Less than 4 hours,1,4
3/27/2026 12:21:30,Male,Bachelor of Accounting,Year 1,3.00 – 3.99,7,3 – 4 hours,More than 6 hours,Doing practice questions,No,,3,Average,Sometimes,No,,Room,Very Supportive,6 – 7 hours,1,4
3/27/2026 12:23:06,Male,Bachelor in Accounting Fintech ,Year 2,3.00 – 3.99,7,3 – 4 hours,3 – 4 hours,Doing practice questions,Yes,Always,2,Good,Sometimes,No,,Room,Very Supportive,8 – 9 hours,4,5
3/27/2026 12:27:24,Female,Bachelor of Electrical and Electronics Engineering,Year 2,3.00 – 3.99,5,1 – 2 hours,5 – 6 hours,Summarizing/making notes,No,,4,Average,Sometimes,No,,"Library, Room, Cafe, Campus Study Area",Very Supportive,8 – 9 hours,4,5
3/27/2026 12:38:17,Female,Bachelor of Science,Year 2,4,6,3 – 4 hours,More than 6 hours,Summarizing/making notes,Yes,Sometimes,4,Good,Sometimes,No,,"Library, Room",Very Supportive,6 – 7 hours,2,4
3/27/2026 12:54:05,Female,Bachelor of Medical Imaging,Year 2,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Summarizing/making notes,Yes,Sometimes,3,Average,Sometimes,No,,"Room, Campus Study Area",Very Supportive,6 – 7 hours,3,5
3/27/2026 13:05:42,Female,Bachelor of Computer Science,Year 2,3.00 – 3.99,3,1 – 2 hours,More than 6 hours,Doing practice questions,No,,5,Average,Always,No,,Room,Very Supportive,6 – 7 hours,1,4
3/27/2026 13:34:17,Female,Bachelor Of Home Science With Education,Year 2,3.00 – 3.99,4,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,2,Good,Always,Yes,Less than 5 hours,Room,Very Supportive,8 – 9 hours,2,4
3/27/2026 13:34:53,Female,Bachelor of Mass Communications ,Year 2,3.00 – 3.99,5,3 – 4 hours,5 – 6 hours,Doing practice questions,No,,4,Average,Always,No,,Room,Very Supportive,6 – 7 hours,2,5
3/27/2026 13:51:16,Female,Bachelor of Chemical Engineering,Year 2,3.00 – 3.99,4,3 – 4 hours,More than 6 hours,Summarizing/making notes,No,,4,Good,Always,Yes,Less than 5 hours,"Library, Room, Campus Study Area",Very Supportive,8 – 9 hours,3,5
3/27/2026 13:52:48,Female,Bachelor of Business ,Year 2,3.00 – 3.99,2,3 – 4 hours,5 – 6 hours,Summarizing/making notes,No,,5,Average,Always,No,,"Library, Room",Very Supportive,6 – 7 hours,5,5
3/27/2026 14:00:47,Female,Bachelor of Statistic ,Year 2,3.00 – 3.99,5,5 – 6 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,4,Average,Always,No,,Room,Very Supportive,4 – 5 hours,4,5
3/27/2026 14:02:45,Female,Diploma in Early Childhood Education ,Year 2,2.00 – 2.99,3,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,3,Average,Sometimes,No,,"Library, Room, Cafe, Campus Study Area",Neutral,6 – 7 hours,4,4
3/27/2026 14:09:40,Female,Diploma in Science,Year 2,3.00 – 3.99,5,5 – 6 hours,More than 6 hours,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,,"Library, Room",Very Supportive,6 – 7 hours,3,4
3/27/2026 14:14:04,Male,Bachelor of Computer Science,Year 2,3.00 – 3.99,3,Less than 1 hour,3 – 4 hours,Summarizing/making notes,No,,3,Average,Always,Yes,11 – 20 hours,"Room, Cafe",Neutral,6 – 7 hours,2,4
3/27/2026 14:28:21,Female,Bachelor of Software Engineering ,Year 1,3.00 – 3.99,5,1 – 2 hours,3 – 4 hours,Summarizing/making notes,No,,3,Average,Sometimes,No,,Room,Very Supportive,6 – 7 hours,2,4
3/27/2026 14:34:35,Female,Bachelor of Biodiversity Management ,Year 1,3.00 – 3.99,4,3 – 4 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,3,Good,Sometimes,No,,"Room, Cafe",Very Supportive,6 – 7 hours,2,5
3/27/2026 14:45:37,Female,Bachelor of Computer Science ,Year 3,3.00 – 3.99,3,3 – 4 hours,More than 6 hours,Summarizing/making notes,No,,3,Average,Sometimes,No,,Room,Very Supportive,4 – 5 hours,5,5
3/27/2026 14:55:04,Female,Bachelor of Business,Year 5,3.00 – 3.99,4,3 – 4 hours,More than 6 hours,Summarizing/making notes,Yes,Sometimes,5,Average,Sometimes,Yes,5 – 10 hours,"Library, Cafe, Campus Study Area",Very Supportive,6 – 7 hours,1,3
3/27/2026 15:18:48,Female,Bachelor of Game Development,Year 3,3.00 – 3.99,3,1 – 2 hours,Less than 1 hour,Watching recorded lectures/videos,No,,4,Average,Always,No,,Room,Very Supportive,6 – 7 hours,5,5
3/27/2026 16:37:05,Female,Bachelor of Communications ,Year 1,2.00 – 2.99,3,3 – 4 hours,5 – 6 hours,Summarizing/making notes,No,,4,Average,Sometimes,No,,"Library, Room",Very Supportive,Less than 4 hours,3,5
3/27/2026 17:38:33,Female,Bachelor of Digital Media Production ,Year 1,3.00 – 3.99,5,5 – 6 hours,3 – 4 hours,Doing practice questions,Yes,Always,2,Good,Sometimes,No,,Room,Very Supportive,4 – 5 hours,3,1
3/27/2026 19:01:28,Female,Bachelor of Medicine Bachelor of Surgery (MBBS ),Year 2,3.00 – 3.99,6,5 – 6 hours,More than 6 hours,Reading lecture notes,No,,3,Average,Sometimes,No,,"Library, Room",Very Supportive,4 – 5 hours,2,4
3/27/2026 22:37:00,Female,Bachelor of Arabic Studies and Islamic Civilization,Year 1,3.00 – 3.99,7,5 – 6 hours,More than 6 hours,Summarizing/making notes,Yes,Sometimes,2,Good,Sometimes,No,,"Room, usually at library during study week only",Very Supportive,6 – 7 hours,2,4
3/28/2026 2:02:05,Female,Bachelor of Communications,Year 3,3.00 – 3.99,3,3 – 4 hours,5 – 6 hours,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,,Room,Very Supportive,4 – 5 hours,3,5
3/28/2026 11:40:13,Female,Bachelor of Arts,Year 1,3.00 – 3.99,7,5 – 6 hours,5 – 6 hours,Summarizing/making notes,No,,2,Good,Sometimes,No,,"Room, Cafe",Very Supportive,6 – 7 hours,1,5
3/28/2026 15:51:10,Female,Bachelor of Business ,Year 2,3.00 – 3.99,2,1 – 2 hours,1 – 2 hours,Ai generated quiz game,No,,4,Average,Sometimes,Yes,5 – 10 hours,"Library, Room",Neutral,4 – 5 hours,4,4
3/28/2026 16:14:51,Female,Bachelor of Accounting,Year 1,Below 2.00,1,1 – 2 hours,Less than 1 hour,Doing practice questions,No,,5,Average,Never,No,,"Library, Room",Very Not Supportive,4 – 5 hours,3,3
3/28/2026 16:19:08,Female,Bachelor of Digital Media Production ,Year 1,3.00 – 3.99,1,1 – 2 hours,More than 6 hours,Summarizing/making notes,No,,5,Average,Sometimes,No,,At home ,Very Supportive,4 – 5 hours,2,5
3/28/2026 16:20:26,Female,Bachelor of Digital Media Production ,Year 1,2.00 – 2.99,4,3 – 4 hours,5 – 6 hours,Watching recorded lectures/videos,Yes,Sometimes,3,Average,Sometimes,Yes,11 – 20 hours,"Library, Room",Neutral,4 – 5 hours,2,3
3/28/2026 16:23:26,Female,Bachelor of Accounting,Year 1,3.00 – 3.99,3,3 – 4 hours,1 – 2 hours,Doing practice questions,Yes,Always,3,Average,Sometimes,No,,"Library, Room, Campus Study Area",Very Supportive,4 – 5 hours,2,5
3/28/2026 16:33:37,Female,Bachelor of Digital Media Production ,Year 1,3.00 – 3.99,4,Less than 1 hour,More than 6 hours,Summarizing/making notes,No,,4,Average,Sometimes,No,,Room,Very Supportive,6 – 7 hours,5,5
3/28/2026 16:52:31,Female,Bachelor of Islamic Finance,Year 1,3.00 – 3.99,6,3 – 4 hours,More than 6 hours,Doing practice questions,No,,4,Average,Always,No,,Room,Neutral,4 – 5 hours,2,4
3/28/2026 17:06:57,Female,Diploma in Halal Industry,Year 1,3.00 – 3.99,5,3 – 4 hours,3 – 4 hours,Reading lecture notes,No,,3,Good,Sometimes,No,,"Library, Room",Neutral,8 – 9 hours,2,5
3/28/2026 17:15:46,Female,Diploma in English Communication,Year 2,3.00 – 3.99,4,5 – 6 hours,3 – 4 hours,Summarizing/making notes,Yes,Sometimes,3,Good,Sometimes,No,,"Library, Room, Cafe",Neutral,Less than 4 hours,3,4
3/28/2026 17:18:02,Female,Diploma in Islamic Finance,Year 2,3.00 – 3.99,3,1 – 2 hours,5 – 6 hours,Summarizing/making notes,No,,3,Average,Always,No,,Room,Neutral,6 – 7 hours,3,3
3/28/2026 17:27:19,Female,Diploma in Islamic Finance,Year 1,3.00 – 3.99,5,5 – 6 hours,More than 6 hours,Doing practice questions,Yes,Always,2,Good,Always,Yes,Less than 5 hours,Room,Neutral,4 – 5 hours,5,2
3/28/2026 17:58:11,Female,Diploma in Islamic Finance,Year 2,3.00 – 3.99,2,3 – 4 hours,5 – 6 hours,Doing practice questions,No,,3,Good,Never,No,,Room,Very Supportive,6 – 7 hours,2,5
3/28/2026 18:06:11,Female,Diploma in Islamic Finance,Year 1,3.00 – 3.99,2,1 – 2 hours,5 – 6 hours,Summarizing/making notes,No,,4,Average,Always,No,,"Library, Room",Neutral,Less than 4 hours,4,5
3/29/2026 8:40:56,Female,Bachelor of Physiotherapy,Year 2,3.00 – 3.99,5,3 – 4 hours,More than 6 hours,Doing practice questions,No,,4,Average,Always,No,,Room,Very Supportive,4 – 5 hours,2,5
3/29/2026 13:17:48,Female,Bachelor of Digital Media Production,Year 1,2.00 – 2.99,5,3 – 4 hours,5 – 6 hours,all of the above,No,,4,Average,Always,No,,"Room, Campus Study Area",Neutral,6 – 7 hours,2,4
3/29/2026 20:26:20,Female,Bachelor of Accounting,Year 2,3.00 – 3.99,7,3 – 4 hours,More than 6 hours,Doing practice questions,Yes,Sometimes,3,Good,Sometimes,No,,Room,Very Supportive,6 – 7 hours,2,5
